meta 字元	說明
\	將下一個字元標示為特殊字元或文字。例如，n 符合字元 n，而 \n 則符合換行字元。序列 \\ 符合 \，而 \( 則符合 (。
^	符合輸入的開頭。
$	符合輸入的結尾。
*	符合前面字元零次以上。例如，zo* 符合 z 或 zoo。
+	符合前面字元一次以上。例如，zo+ 符合 zoo，但不符合 z。
?	符合前面字元零次或一次。例如，a?ve? 符合 never 中的 ve。
.	符合任何單一字元，但換行字元除外。
(pattern)	符合型樣並記住相符項。您可以使用此程式碼，從產生的相符項集合中擷取符合的子字串：Item [0]...[n]。若要符合括弧字元 ( )，請使用 \( 或 \)。
x|y	符合 x 或 y。例如，z|wood 符合 z 或 wood。(z|w)oo 符合 zoo 或 wood。
{n}	n 是非負數的整數。正好符合 n 次。例如，o{2} 不符合 Bob 中的 o，但符合 foooood 中的前兩個 o。
{n,}	在此表示式中，n 是非負數的整數。至少符合前面字元 n 次。例如，o{2,} 不符合 Bob 中的 o，而符合 foooood 中的所有 o。o{1,} 表示式相等於 o+，而 o{0,} 相等於 o*。
{n,m}	m 及 n 變數是非負數的整數。符合前面字元至少 n 次，但至多 m 次。例如，o{1,3} 符合 fooooood 中的前三個 o。o{0,1} 表示式相等於 o?。
[xyz]	字集。符合括號內的其中一個字元。例如，[abc] 符合 plain 中的 a。
[^xyz]	負數字集。符合任何未括住的字元。例如，[^abc] 符合 plain 中的 p。
[a-z]	字元範圍。符合指定範圍內的任何字元。例如，[a-z] 符合英文字母中的任何小寫英文字母。
[^m-z]	負數字元範圍。符合不在指定範圍內的任何字元。例如，[m-z] 符合任何不在範圍 m 到 z 的字元。
\A	僅符合字串的開頭。
\b	符合單字界限，亦即，單字與空格之間的位置。例如，er\b 符合 never 中的 er，但不符合 verb 中的 er。
\B	符合非單字界限。ea*r\B 表示式符合 never early 中的 ear。
\d	符合數字字元。
\D	符合非數字字元。
\f	符合換頁字元。
\n	符合換行字元。
\r	符合換行字元。
\s	符合任何空格，包括空格、定位點、換頁字元等。
\S	符合任何非空格字元。
\t	符合定位點字元。
\v	符合垂直定位點字元。
\w	符合任何包括底線的單字字元。此表示式相等於 [A-Za-z0-9_]。
\W	符合任何非單字字元。此表示式相等於 [^A-Za-z0-9_]。
\z	僅符合字串的結尾。
\Z	僅符合字串的結尾，或符合在結尾處換行字元前面的字串部分。
